Username,Tag,Attacks,Gold,,10/04/2023 Attacks,10/04/2023 Gold,17/04/2023 Attacks,17/04/2023 Gold
"Tommy","#JYP88UR9",12,32337,,"6","15119",6,17218
"Will Woodward","#G88UCVPL",12,44239,,"6","24773",6,19466
"Eldaro 29","#Y0CJJJGV",11,20720,,"6","13740",5,6980
"SkyBlueMan","#99G8CCL8",6,15190,,"0","0",6,15190
"DuskK","#J0URGVLP",0,0,,"","",0,0
"Mighty Max","#20LJ2JLQ",12,21655,,"6","14030",6,7625
"HarryM","#LJUPCQR2V",0,0,,"","",0,0
"hunain","#92CG09PCC",12,33385,,"6","16220",6,17165
"hahaha","#9JJC9029V",0,0,,"","",0,0
"Niko","#LYRLU90LJ",6,14285,,"6","14285",0,0
"Alice12321","#Y2V0PQUV",12,25480,,"6","13510",6,11970
"DRAGNIEL","#9QGP2LGC8",0,0,,"0","0",0,0
"jojo","#PLL090RC0",0,0,,"0","0",0,0
"JW2003","#G92PL00CP",12,40964,,"6","23811",6,17153
"Ruane14","#PPG2CLJY",0,0,,"0","0",0,0
"empire 2.5","#YUQ0UQQQG",12,31183,,"6","15270",6,15913
"Adrian","#LGPJPLVVC",6,14149,,"6","14149",0,0
"The Unkown","#LRLGJQVRU",0,0,,"0","0",0,0
"soheil","#2G2V8G808",0,0,,"","",0,0
"Cameron","#LG8VL08RJ",6,5985,,"0","0",6,5985
"Dzaster","#PU8GV0QG",7,10865,,"6","10865",1,0
"S1","#LCLLQUY8C",12,28655,,"6","11395",6,17260
"Monkey D. Luffy","#LJUPC2YYR",6,16515,,"6","16515",0,0
"paul","#QU88VVCG8",6,13125,,"6","13125",0,0
"Rainbow Dash","#8GGPYU82U",12,28700,,"6","13110",6,15590
"Will Woodward 2","#LU28RJ0GC",12,31916,,"6","14403",6,17513
"LK","#YU0LLJG89",12,28706,,"6","13518",6,15188
"smnagpal","#QG98CPCUU",0,0,,"0","0",0,0
"Tom","#P8UR8YVJL",6,19264,,"0","0",6,19264
"JW2004","#QCLCLC08L",12,42920,,"6","19024",6,23896
"Chris","#QVYPRYPC9",12,25541,,"6","12285",6,13256
"Lextober","#LJ9GJ8U8V",12,30593,,"6","13360",6,17233
"Lone Wolf","#QP28LGJR8",0,0,,"","",0,0
"AweSaMan","#PCUV8PU9Y",0,0,,"0","0",0,0
"matthew","#PQQ88PYQQ",12,27700,,"6","13330",6,14370
"Will Woodward","#YG8L2LCV8",12,41018,,"6","20213",6,20805
"Mighty Max Mk.2","#2RVYYL99C",11,21620,,"6","13860",5,7760
"ODHRANR","#QY0QVQ0JJ",2,1658,,"1","775",1,883
"LordPiou","#LPYU0VYQ8",0,0,,"","",0,0
"l__Ruane__l","#YCJJ90PPY",0,0,,"0","0",0,0
"Tom2","#Y9QG0URGP",6,14443,,"0","0",6,14443
"Adrian","#QPLJ9G8CJ",0,0,,"0","0",0,0
"Grislyjojo","#QQUP9Y9PL",0,0,,"0","0",0,0
"hayday","#QVQPQJUVU",6,13000,,"6","13000",0,0
"Benji","#QC8P2RJLY",0,0,,"0","0",0,0
"Lord_Dobie","#G989JRVRU",0,0,,"0","0",0,0
"Tommy2","#QQJ22092C",4,9870,,"0","0",4,9870
